"id";"frequency";"route";"operator";"brand";"name";"trains";"color";"booking_also";"information_also";"source";
"sj1";"d";"Stockholm – Malmö";"SJ";;;"tågpar 1,2";"orange";;;;
"se2";"d";"Stockholm – Luleå/Narvik";"SJ";;"Arctic Circle Train";"ett tågpar, delas i Boden";"red";;;;
"se3";"d";"Göteborg – Luleå";"SJ";;;"tågpar 91,92";"blue";;;;
"se4";"s";"Göteborg – Duved";"SJ";;;;"green";;;;
"ms";"s";"Malmö – Storlien";"Veolia";"Snälltåget";;;"yellow";"SJ";;"https://www.snalltaget.se/upload/snalltaget/Destinationer/Snalltaget-gronkarta-400-destinationer-maj-2017.jpg";
"bne";"s";"Malmö – Berlin";"Veolia";"Snälltåget";"Berlin Night Express";"endast liggvagn";"red";"SJ";;;
;;;;;;;;;;;
"no1";"d";"Oslo – Trondheim";"NSB";;;;"red";;;;
"no2";"d";"Trondheim – Bodø";"NSB";;;;"blue";;;;
"no3";"d";"Oslo – Bergen";"NSB";;;;"green";;;;
"no4";"d";"Oslo – Stavanger";"NSB";;;;"orange";;;;
;;;;;;;;;;;
"ukl";"d";"London – Edinburgh/Glasgow";"CAL";;"Lowland Sleeper";"ett tågpar, delas i Carstairs";"red";"Loco2";;;
"ukh";"d";"London  – Fort William/Inverness/Aberdeen";"CAL";;"Highland Sleeper";"ett tågpar, delas i Edinburgh";"blue";"Loco2";;;
"ukc";"d";"London – Penzance";"GWR";;"Night Riviera";;"green";"Loco2";"https://www.seat61.com/Cornwall-sleeper.htm";;
;;;;;;;;;;;
"fr1";"d";"Paris – Briancon";"SNCF";;;"ett tågpar, delas";"blue";"Loco2 Trainline";"https://www.seat61.com/lunea.htm";;
"fr1_n";"-";"Paris – Nice";"SNCF";;;"ingen trafik sen 2018-01-09";"blue";;;;
"fr2";"d";"Paris – Latour/Perpignan/Rodez/Albi";"SNCF";;;"ett tågpar, delas";"red";"Loco2 Trainline";"https://www.seat61.com/lunea.htm";;
"fr2_a";"-";"Rodez-Albi";"SNCF";;;;"red";;;;
"fr2_p";"w";"-Portbou";"SNCF";;;;"red";;;;
"fr2_s";"s";;"SNCF";;;;"red";;;;
"th";"d";"Paris – Venice";"Thello";;;;"green";;;;
;;;;;;;;;;;
"thi1";"d";"Barcelona – Vigo/A Coruna";"RENFE";;;"ett tågpar, delas i Monforte";"blue";"Loco2 Trainline";;;
"thi2";"d";"Irun/Madrid – Lisabon";"RENFE";;;"ett tågpar, delas i Medina del Campo";"green";"Loco2 Trainline";;;
;;;;;;;;;;;
"ml";"d";"Milano/Torino – Lecce";"FS";;;"två tågpar till Milano, ett tågpar till Torino";"red";"Trainline";;;
"msir";"d";"Milano – Siracusa";"FS";;;;"pink";"Trainline";;;
"rps";"d";"Roma – Siracusa/Palermo";"FS";;;"två tågpar till Siracusa";"green";"Trainline";;;
"rps_p";"s";"-Palermo";;;;;"green";;;;
"ts";"d";"Torino – Pisa – Salerno";"FS";;;;"lilac";"Trainline";;;
"tps";"d";"Torino – Bologna – Salerno – Villa de Calabria";"FS";;;;"maroon";"Trainline";;;
"rt";"d";"Roma – Trieste";"FS";;;;"yellow green";"Trainline";;;
"rb";"w";"Roma – Bolzano";"FS";;;;"turqoise";"Trainline";;;
"rl";"d";"Roma – Lecce";"FS";;;;"orange";"Trainline";;;
;;;;;;;;;;;
"mz";"d";"München – Zagreb/Riekaja";"HZ";;"Lisinski";"ett tågpar, delas i Lubljana";"green";"ÖBB";;;
"mz_r";"s";"-Riekaja";"HZ";;;;"green";;;;
"spz";"w";"Split – Zagreb";"HZ";;;;"blue";;;;
;;;;;;;;;;;
"bt";"s";"Belgrad – Thessaloniki";"TRAINOSE";;"Hellas";;"blue";;;;
"bsof";"s";"Belgrad – Sofia";"SV";;;;"orange";;;"http://www.srbrail.rs/red_voznje1/kursnak/index_eng.htm";
"bbar";"d";"Belgrad – Bar";"SV";;;"ett tågpar, åter trafik sen november 2017";"turqoise";;;;
"bbar_b";"-";"Budapest-";;;;;"turqoise";;;;
;;;;;;;;;;;
"vr1";"d";"Helsinki – Kemijärvi/Kolari";"VR";;;"tre tågpar, ett var till Kemijärvi, Rovanjemi och Kolari";"red";;;;
"vr2";"d";"Turku – Rovanjemi";"VR";;;"ett tågpar";"green";;;;
;;;;;;;;;;;
"mh";"d";"Moskva – Helsinki";"RZD";;"Leo Tolstoy";"tågpar 31,32";"blue";"VR";;;
"mt";"d";"Moskva – Tallin";"RZD";"Baltic Express";;"tågpar 33,34";"turqoise";;;;
"rsm";"d";"Riga – Moskva/S:t Petersburg";"RZD";;;"tågpar 001,002 till Moskva. tågpar 037,038 till S:t Petersburg";"pink";;;;
"rik";"w";"Riga – Kyiv";"LDZ";;;"förbindelse varannan dag";"blue";;;;
"km";"d";"Kaliningrad – Vilnius – Moskva";"RZD LG";;;"tågpar 29,30 Moskva-Vilnius. tågpar 29/30 ”Amber” Moskva-Kaliningrad";"yellow";;;;
"mw";"d";"Moskva – Warszawa";"RZD";;;"tågpar 9,10 till Warzsawa. tågpar 7,8 till Brest. tågpar 211,212 till Minsk. Också tåg till Moskva-Berlin/Paris/Praha/Nice";"orange";"PKP";;;
"mp";"w";"Moskva – Warszawa – Berlin – Paris";"RZD";;;"tågpar 23/24 till Berlin. tågpar 9,10 till Paris";"orange";;;;
"mpw";"w";"Moskva – Warszawa – Praha/Wien/Nice";"RZD";;;"tågpar 017Б,018Б till Nice. tågpar 021,022 ”Vlatva” till Prag med kursvagn till Wien";"light green";;;;
"stm";"d";"S:t Petersburg – Vilnius/Kaliningrad/Minsk/Hrodna";"RZD";;;"tågpar 79,80 till Kaliningrad. tågpar 51/52 till Minsk";"lilac";;;;
"stm_k";"w";"-Kaliningrad";"RZD";;;;"lilac";;;;
"stm_g";"w";"-Hrodna";"RZD";;;;"lilac";;;;
;;;;;;;;;;;
"plwz";"d";"Warszawa – Swinoujscie/Szklarska Poręba";"PKP";"TLK";;"TLK 18178";"turqoise";;;;
"plwk";"d";"Warszawa – Kyiv";"PKP";"TLK";"Kyiv Express";"TLK 68";"pink";;;;
"plkl";"d";"Wroclav/Warszawa – Lviv";"PKP";"TLK";;"TLK 1327";"lilac";;;;
"plgp";"d";"Gdynia – Warszawa – Przemysl/Zakopane";"PKP";"IC/TLK";"Karpaty";"ett tågpar, delas";"yellow green";;;;
"plsb";"s";"Szcecin – Gdynia – Bialystok";"PKP";"TLK";;;"light pink";;;;
"plbg";"d";"Gdynia – Bielsko-Biała/Krakow/Zakopane/Krynica-Zdrój";"PKP";"TLK";;"ett tågpar, delas";"maroon";;;;
"plbg_z";"s";"-Zakopane";"PKP";"TLK";;;"maroon";;;;
"plgj";"d";"Gdynia – Jelenia Góra";"PKP";"TLK";;;"green";;;;
"plkk";"d";"Krakow – Warszawa – Kolobrzeg";"PKP";"TLK";;;"dark green";;;;
"plkz";"d";"Zakopane/Krakow/Przemysl – Swinoujście";"PKP";"TLK";;"ett tågpar, delas. trafik året runt men olika rutt sommar/vinter";"pink";;;;
"plkz_p";"s";"säsongsvariationer";"PKP";"TLK";;;"pink";;;;
;;;;;;;;;;;
"wb";"d";"Wien – Bregens";"ÖBB";"NightJet";;;"turqoise";;;;
"wv";"d";"Wien – Venezia";"ÖBB";"NightJet";;;"yellow";;;;
"zw";"d";"Zurich – Budapest/Prag";"ÖBB ČD";"NightJet";"Wiener Waltzer";"tågpar NJ 467, delas";"lilac";;;;
"hw";"d";"Hamburg/Düsseldorf – Innsbruck/Wien";"ÖBB";"NightJet";;"ett tågpar per sträcka, delas och sammanfogas i Nürnberg";"pink";;;;
"hz";"d";"Hamburg – Berlin – Zürich";"ÖBB";"NightJet";;;"dark green";;;;
"wr";"d";"Wien/München – Milano/Roma/Livorno";"ÖBB";"NightJet";"(tidigare Allegro Tosca)";"tågpar EN 234,235, delas";"blue";;;;
"wr_l";"s";"-Livorno";;;;;"blue";;;;
"zz";"d";"Zurich – Graz/Zagreb/Belgrad";"ÖBB SBB HZ";"NightJet";;"EN 465, sovvagnar till Zagreb";"red";;;;
"ww";"d";"Wien/Budapest – Warszawa/Krakow/Košice";"ÖBB PKP MAV ČD SZZK";"NightJet";"Silesia till Krakow, Chopin till Warszawa";"ett tågpar, delas på flera ställen: EN 402,403 till Krakow";"red";;;;
"ww_z";"-";"-Zwolen";;;;;"red";;;;
;;;;;;;;;;;
"pk";"d";"Cheb – Prag – Warszawa/Košice/Humenne";"SZZK";;"Bohemia(?)";"två tågpar: EN 445 till Kosice, EN 443 till Humenne. Kursvagnar Cheb – Parg";"yellow";;;;
"bkh";"d";"Bratislava – Žilina – Humenne";"SZZK";;;;"orange";;;;
"bpr";"d";"Brno – Bratislava – Prerov";"ČD SZZK";;;"ett tågpar R801";"turqoise";;;;
"bki";"d";"Pag/Budapest/Bratislava – Lviv – Kyiv";"UZ";;;"kursvagnar";"light pink";;;;
"bki_b";"w";"-Bratislava";"UZ";;;;"light pink";;;;
;;;;;;;;;;;
"bp";"d";"Budapest – Prag/Krakow/Warszawa";"MAV";;"Metropol";"ett tågpar, delvis som kursvagnar i tåg från Wien";"blue";;;;
"bp_b";"-";"Budapest – Berlin";"MAV";;"Metropol";;"blue";;;;
"bm";"d";"Budapest – München";"MAV";;"Lisinski";;"orange";;;;
"buri";"s";"Budapest – Riekaja/Koper";"MAV";;;"ett tågpar, delas";"yellow";;;;
"busp";"s";"Budapest – Split";"MAV";;;;"pink";;;;
"bbel";"d";"Budapest – Belgrade";"MAV";;;"ett tågpar B340,G341";"green";;;;
"bbra";"d";"Budapest – Oradea – Brasov";"MAV";;"Corona";"ett tågpar 407";"dark green";;;;
"btib";"d";"Budapest – Timisoara – București";"MAV";;;"ett tågpar IR 1695/78";"red";;;;
"bsib";"d";"Budapest – Sighisoara – București";"MAV";;"Ister";;"maroon";;;;
"bb";"d";"Wien – Budapest – București";"MAV CFR";;"Dacia";;"yellow green";;;;"sovvagn bara delvis?"
;;;;;;;;;;;
"arco";"d";"Arad – București – Constanța";"CFR";;;"ett tågpar IR1821,1822";"orange";;;;
"tibo";"d";"Timisoara – Botoșani/Iasi/Sighetu Marmației";"CFR";;;;"blue";;;;"flera tåg"
"bbis";"d";"București – Bistrita/Satu Mare/Targu Mures";"CFR";;;"ett tågpar, delas";"green";;;;
"bbis";"d";"București – Sighetu Marmației";"CFR";;;;"green";;;;
"bbis";"d";"București – Cluj-Napoca";"CFR";;;;"green";;;;
"bors";"d";"București – Oradea – Satu Mare";"CFR";;;;"pink";;;;
"bbot";"d";"București – Botosani/Chișinău/Suceava/Vatra Dornei";"CFR";;;"ett tågpar till Botosani/Suceava, delas. varsitt tågpar i övrigt";"turqoise";;;;
"buki";"w";"București – Kyiv";"UZ";;"Bukowina";"kursvagnar";"light green";;;;
"bias";"d";"București – Iasi";"CFR";;;;"light pink";;;;
;;;;;;;;;;;
"buth";"s";"București – Thessaloniki";"CFR";;;;"yellow";;;"https://rail.cc/en/night-train/București-thessaloniki-d-461-1461/562";
;;;;;;;;;;;
"si";"d";"Belgrad/București – Sofia – Istanbul";"BDZ";;;;"dark green";;;;
"si_b";"s";"Belgrad-";"SV";;;;"dark green";"BDZ";;"http://www.srbrail.rs/red_voznje1/kursnak/index_eng.htm";
"si_bu";"s";"București-";"CFR";;;;"dark green";"BDZ";;;
"sbur";"d";"Sofia – Burgas";"BDZ";;;;"green";;;"http://razpisanie.bdz.bg/";
"sdob";"d";"Sofia – Dobrich/Varna";"BDZ";;;;"turqoise";;;;
"ssil";"d";"Sofia – Silistra";"BDZ";;;;"yellow green";;;;
"spvar";"d";"Sofia – Pleven – Varna";"BDZ";;;;"red";;;;
"vapl";"d";"Varna – Plovdiv";"BDZ";;;;"blue";;;;
;;;;;;;;;;;
"kiod";"d";"Odessa – Kyiv/Lviv";"UZ";;;"ett tågpar per destination";"blue";;;;
"kilv";"d";"Kyiv – Lviv – Ivano-Frankivsk/Przemysl/Truskavets";"UZ";;;"ett tågpar per destination";"red";;;;
"khuj";"d";"Odessa/Kharkiv – Lviv – Ujgorod/Chernovcy/Solotvyno";"UZ";;;;"green";;;;
"khuj_u";"w";"-Ujgorod";"UZ";;;;"green";;;;
"odm";"d";"Odessa/Chișinău – St:Petersburg /Kyiv/Moskva";"RZD";;;"ett tågpar till Odessa, delas. Ett tågpar var över Balti till Moskva och S:t Petersburg.";"lilac";"UZ";;;
"odm_c";"w";"-Chisinau";"RZD";;;;"lilac";"UZ";;;
"odm_p";"w";"-S:t Petersburg";"RZD";;;;"lilac";;;;
"kimi";"d";"Kyiv – Minsk/S:t Petersburg";"UZ";;;"ett tågpar, delas";"turqoise";;;;
"kima";"d";"Kyiv – Mariupol/Nowoalekseewka";"UZ";;;;"maroon";;;;
"kiri";"d";"Kyiv - Rih – Saporosche";"UZ";;;;"orange";;;;
"khod";"d";"Odessa – Kharkiv";"UZ";;;;"red";;;;
"kko";"d";"Kyiv – Kharkov – Konstantinowka";"UZ";;;;"yellow";;;;
"ksk";"d";"Kyiv – Sumy – Konstantinowka/Lisitschansk";"UZ";;;;"yellow green";;;;
"khm";"d";"Kharkov – Moskva";"RZD";;;;"dark green";"UZ";;;
"solv";"d";"Solotvino – Lviv – Kyiv";"UZ";;;"ett tågpar till Lviv, ett tågpar var annan dag till Kyiv";"dark green";;;;
"solv_k";"w";"-Kyiv";"UZ";;;;"dark green";;;;
